vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk
11.79,34.17,49.84,2183.13,12.3,25.5,86.1,10,M20,17.98,0.39,High
3.04,26.07,27.01,2090.28,68.5,-9.2,42.8,2,M30,11.47,1.03,Low
7.74,114.94,9.49,1961.89,67.1,-9.9,69.1,4,M40,11.08,1.21,Low
8.91,2.05,66.72,2277.64,49.4,27.0,56.6,2,M50,15.11,1.23,Medium
0.74,119.74,15.31,982.13,50.7,1.3,47.5,7,M50,3.93,0.86,Low
9.13,81.54,30.74,387.81,1.4,1.5,68.4,10,M30,22.45,0.73,Low
2.6,99.59,50.26,505.52,73.9,29.2,91.1,1,M30,11.63,0.36,Medium
1.02,36.06,52.98,863.58,66.0,-6.8,23.1,2,M40,9.16,1.07,Low
14.24,2.7,56.05,1800.67,67.2,8.8,88.9,5,M40,3.17,1.24,Medium
14.49,88.81,19.13,2957.51,49.8,-1.0,65.7,2,M30,4.2,1.18,Medium
12.14,100.26,37.28,2484.4,26.5,24.8,80.5,9,M20,23.01,1.03,High
4.6,89.12,57.46,2782.74,67.1,29.7,48.8,4,M20,11.42,0.21,High
1.51,18.0,87.43,1293.32,22.6,33.3,55.4,9,M30,18.05,0.65,High
10.28,90.66,66.85,1475.82,42.6,5.3,85.2,1,M40,2.01,0.65,Medium
6.63,92.5,83.42,1438.52,8.4,-4.6,51.1,1,M50,16.09,1.18,Medium
1.87,79.37,69.79,752.37,69.2,-5.3,60.1,1,M40,23.04,0.27,Medium
7.45,92.17,55.3,308.14,11.4,15.6,21.5,4,M20,7.5,0.78,High
0.56,101.66,21.32,2109.11,17.6,46.8,31.9,9,M40,14.48,0.35,Low
13.64,74.02,61.67,3463.34,42.3,3.1,68.1,8,M20,23.51,0.93,High
3.92,11.54,57.99,667.22,57.5,5.4,73.8,7,M40,17.98,1.07,Medium
9.95,59.03,56.21,258.73,46.8,-3.9,63.7,1,M40,1.56,0.91,Medium
4.71,10.24,46.63,2750.41,18.2,26.3,30.7,3,M20,9.47,1.07,High
7.83,49.5,49.94,958.79,1.1,30.8,53.4,9,M20,2.14,0.87,Medium
8.22,49.45,33.43,2920.79,57.0,28.6,46.6,9,M20,21.53,0.41,Medium
2.81,8.86,49.14,2493.38,73.9,41.7,57.2,5,M20,15.54,0.62,High
14.55,42.51,21.79,3315.29,60.9,19.2,85.3,6,M40,23.91,1.25,Medium
11.64,14.21,73.44,1490.35,35.1,-1.9,78.2,6,M20,0.49,0.52,High
14.1,97.18,20.79,2350.7,67.9,7.4,26.3,10,M20,10.58,0.27,Low
13.43,113.77,12.22,1680.51,31.3,29.7,86.8,4,M20,2.61,0.62,Low
8.99,9.61,42.08,2244.0,39.8,26.8,55.4,1,M40,8.76,0.6,Low
13.83,114.66,60.96,1628.64,36.3,21.9,75.8,5,M30,4.05,0.72,Medium
1.37,63.19,42.21,741.35,34.1,31.0,30.5,1,M20,8.22,0.82,Medium
2.98,36.65,28.52,1826.85,58.4,28.2,70.3,1,M40,20.48,1.29,Low
0.73,10.15,52.44,1897.19,40.0,42.9,37.7,5,M30,4.02,1.03,Medium
4.91,60.57,34.5,2856.05,24.4,25.2,52.9,5,M30,11.84,0.24,Low
5.86,95.55,84.29,2600.77,20.1,36.7,21.3,7,M40,23.04,0.98,Medium
4.11,85.14,83.42,2356.89,3.8,4.9,31.4,2,M20,24.97,1.11,High
12.44,6.98,47.7,485.52,44.2,30.7,26.9,6,M40,6.27,1.19,Medium
5.38,9.68,32.87,2550.1,18.0,44.1,38.0,2,M30,23.39,0.67,Medium
4.25,48.94,67.66,1801.04,12.0,13.1,27.5,10,M30,6.53,0.54,Medium
8.16,36.14,8.12,3139.94,49.4,36.7,71.9,5,M20,10.34,1.12,Low
2.16,28.65,45.36,3227.56,51.4,33.5,22.2,4,M40,21.95,1.06,Medium
12.04,34.44,33.59,287.53,56.7,-6.4,66.3,10,M30,19.65,0.79,Low
1.16,96.61,83.25,2890.18,38.3,24.9,30.6,5,M20,21.44,0.33,High
14.8,111.58,6.02,228.17,67.2,-2.2,90.9,2,M20,20.01,0.92,Low
11.6,49.21,51.99,1348.38,70.3,48.0,90.0,8,M30,5.88,0.27,Medium
3.02,108.83,67.96,1943.82,60.7,38.7,36.9,8,M40,13.97,0.31,Medium
0.13,39.26,46.23,603.54,48.0,-3.4,66.1,6,M50,9.63,0.56,Low
12.24,57.7,12.26,2637.47,23.5,-2.7,22.1,3,M40,11.49,0.61,Low
10.62,27.9,87.66,128.41,73.7,25.7,89.9,4,M30,3.85,0.71,High
10.95,77.22,49.03,673.24,21.3,10.7,59.2,1,M20,7.89,0.57,High
11.58,117.5,57.21,2074.71,16.0,-7.9,23.2,9,M40,21.44,0.24,Medium
1.16,72.82,25.11,2528.92,33.7,22.5,45.7,10,M50,22.44,0.37,Low
5.41,43.58,46.1,3216.59,5.2,13.3,25.8,5,M30,15.25,0.33,Medium
1.78,78.09,41.48,2498.69,73.4,-3.9,49.5,8,M20,12.46,0.67,Medium
12.95,15.63,11.37,2384.05,44.5,38.1,70.2,3,M20,17.82,0.43,Low
9.37,106.75,14.02,1440.76,42.2,44.9,55.2,4,M20,15.22,0.52,Low
5.0,60.87,76.19,104.37,49.5,35.4,48.8,4,M30,24.59,0.72,High
1.0,54.47,25.38,508.54,37.8,39.3,28.9,8,M50,4.75,0.46,Low
4.7,70.72,21.57,1917.49,3.4,3.0,38.4,9,M20,11.23,0.47,Low
4.91,75.35,47.92,2395.44,46.3,5.8,27.5,3,M30,22.96,1.12,Medium
10.96,9.54,70.34,1519.32,54.0,2.5,80.6,7,M30,22.87,0.8,High
9.58,82.23,10.27,2584.31,31.8,35.9,30.1,9,M50,12.38,1.14,Low
13.31,29.79,54.03,1874.33,57.0,46.9,64.7,2,M30,3.37,0.77,Medium
7.11,85.96,15.13,352.2,17.8,33.0,45.7,4,M20,20.37,1.2,Low
1.84,98.88,8.1,752.86,17.4,42.9,36.9,3,M20,14.63,0.48,Low
10.71,96.67,9.48,2955.99,12.9,28.3,68.0,8,M30,19.33,0.88,Low
11.42,66.75,75.9,2564.7,28.5,13.3,54.3,4,M40,11.56,0.75,Medium
8.44,62.9,15.03,3142.19,63.7,15.5,50.0,9,M20,5.1,1.21,Low
11.58,18.0,8.84,499.69,62.3,-5.5,64.5,1,M30,0.6,0.66,Low
7.43,93.27,42.22,3466.76,29.3,-8.1,56.8,1,M30,13.98,1.14,Medium
7.86,33.3,76.74,811.98,44.6,31.7,42.8,4,M30,4.03,0.82,Medium
6.44,60.11,27.3,140.05,54.3,16.3,61.9,3,M20,4.68,0.98,Low
0.43,34.83,40.85,3491.24,18.8,23.1,70.2,3,M50,10.91,1.18,Low
1.66,16.93,8.39,1055.65,13.4,23.5,22.0,10,M30,11.05,1.3,Low
0.52,75.92,43.17,2371.27,72.9,6.6,54.9,2,M40,6.86,1.0,Low
9.56,7.47,54.1,700.72,46.7,18.6,24.3,10,M30,3.3,0.55,Medium
4.75,90.09,53.53,2072.78,73.6,18.2,34.0,10,M50,23.62,0.53,Low
7.65,38.79,33.26,3173.72,26.0,13.3,62.0,2,M30,3.29,0.54,Low
13.62,1.02,31.82,1188.62,53.0,39.2,85.0,8,M30,8.77,0.31,Low
3.78,61.82,14.06,2378.86,17.5,17.1,86.2,1,M30,7.62,0.26,Low
6.19,6.58,36.18,738.87,20.3,26.2,25.2,8,M30,21.66,0.84,Low
11.35,33.86,13.46,2224.3,38.9,43.7,51.4,10,M20,10.25,1.09,Low
3.47,85.13,70.16,1243.93,24.7,42.0,63.7,3,M50,3.1,0.24,Low
1.2,8.46,87.13,818.11,13.4,43.4,31.0,2,M40,0.26,0.82,Medium
4.38,100.88,87.46,1164.82,20.5,6.2,77.4,9,M30,18.05,0.61,High
2.46,1.45,78.53,708.06,3.6,-7.9,75.8,5,M30,17.86,1.18,High
13.95,30.37,56.07,3166.51,53.1,5.7,87.8,5,M20,10.44,0.36,High
12.13,89.17,64.57,1450.44,37.4,6.7,20.6,6,M40,3.16,0.82,Medium
9.52,38.64,29.24,933.95,8.0,44.6,36.3,4,M30,9.29,1.27,Low
13.08,13.13,58.62,1624.59,13.7,29.0,82.0,7,M30,14.75,0.58,Medium
12.06,43.87,43.73,1189.82,8.6,-5.1,70.3,7,M50,17.6,1.02,Low
2.84,33.18,45.97,2631.03,46.3,-1.9,87.1,9,M30,1.96,1.17,Medium
13.39,101.28,69.41,3402.15,8.0,-0.7,24.3,6,M40,13.91,0.4,Medium
8.11,38.29,28.96,1589.31,56.8,27.8,64.8,1,M30,6.9,1.29,Low
12.12,94.88,32.03,3027.51,2.5,34.1,62.7,9,M40,15.43,1.09,Low
13.45,107.13,83.59,2023.93,19.5,41.6,22.7,10,M30,16.2,0.35,High
4.8,52.62,9.78,634.6,66.9,46.4,58.5,9,M30,22.77,0.54,Low
1.7,109.28,46.28,2448.12,54.2,2.1,65.7,5,M50,10.26,0.89,Low
3.46,45.9,82.59,1845.68,6.4,8.6,34.3,7,M30,13.44,1.17,High
6.44,115.73,56.88,2312.06,61.8,4.4,40.5,1,M30,6.71,0.41,Medium
12.28,11.63,51.44,3124.94,37.5,11.5,68.0,4,M20,7.16,1.0,High
12.92,82.76,26.23,1597.48,63.7,44.9,55.1,10,M20,1.15,0.5,Low
0.15,59.76,34.18,3164.0,45.5,24.5,84.4,4,M40,7.15,1.09,Low
7.69,47.13,77.42,2652.27,51.5,34.3,45.7,5,M30,1.6,0.95,High
6.29,76.29,52.53,1761.26,74.5,19.4,40.0,6,M40,24.1,0.78,Medium
3.37,84.76,48.75,2150.96,18.2,-8.3,93.9,4,M30,15.61,0.91,Medium
1.84,1.52,13.46,1206.98,47.2,-6.1,88.3,6,M30,4.33,1.16,Low
5.1,20.87,6.36,3444.23,35.1,22.3,22.2,10,M40,2.92,0.63,Low
14.15,85.85,86.91,2368.99,3.9,33.1,77.8,7,M30,9.25,1.05,High
4.88,80.3,37.04,249.08,2.1,2.9,28.3,3,M40,7.69,0.37,Low
7.81,115.96,56.27,1210.51,9.8,33.3,22.1,9,M30,6.98,0.97,Medium
10.56,91.56,11.78,2219.27,49.0,38.6,40.5,8,M20,11.7,1.03,Low
5.49,114.14,63.06,291.53,43.0,14.7,40.2,1,M30,22.82,0.69,Medium
14.58,84.6,84.27,181.21,42.0,34.8,81.4,2,M20,14.2,1.07,High
14.44,36.47,53.93,1630.08,3.4,14.2,73.3,2,M30,13.03,0.81,Medium
3.81,13.54,15.72,1231.15,35.7,30.7,93.6,10,M20,20.16,1.23,Low
7.48,94.04,54.45,1590.22,69.4,35.8,73.4,9,M40,0.1,0.32,Low
4.55,77.65,70.14,993.16,30.4,49.5,51.4,9,M20,4.93,0.34,High
4.31,6.73,39.55,660.04,47.2,10.7,72.4,9,M20,12.4,1.13,Medium
0.6,43.85,79.79,2443.09,58.7,14.7,95.0,1,M30,17.63,1.13,High
9.16,114.86,60.14,1849.54,59.0,-0.1,73.3,7,M20,12.13,0.72,High
7.57,60.55,81.44,780.52,39.4,2.2,77.1,3,M20,4.09,1.26,High
0.82,52.49,58.0,1186.6,64.5,31.6,90.4,9,M30,23.25,0.95,Medium
4.22,55.47,16.16,2112.15,30.0,45.0,28.5,8,M20,8.22,1.28,Low
13.63,25.86,31.32,345.58,66.8,13.7,72.9,3,M20,19.71,0.79,Medium
3.63,44.88,22.15,601.34,18.8,0.8,83.8,1,M20,22.29,0.42,Low
2.22,45.01,82.25,349.04,21.7,7.1,91.6,9,M40,8.66,0.69,Medium
7.37,7.23,69.63,2861.88,4.9,17.3,35.8,10,M40,21.13,1.28,Medium
14.79,92.34,62.49,2658.19,59.9,7.4,57.8,1,M30,17.77,0.61,High
3.67,50.56,30.58,2661.26,31.9,4.0,71.0,3,M50,22.61,1.25,Low
10.1,98.84,20.64,2535.51,18.0,34.2,38.6,6,M20,6.28,1.08,Low
11.44,102.19,69.3,2375.91,18.2,-9.5,65.0,6,M30,23.28,0.69,High
3.6,26.23,45.3,1721.77,67.7,22.4,39.3,10,M40,1.63,0.8,Low
10.94,79.23,24.19,2283.75,62.7,37.6,45.0,4,M30,19.84,0.87,Medium
5.55,57.2,57.41,230.43,42.0,6.0,53.1,2,M50,10.89,0.93,Low
9.5,105.74,8.43,2212.98,46.6,26.2,59.7,10,M50,4.45,0.28,Low
9.52,26.67,32.72,2744.78,36.1,30.1,53.7,6,M20,1.99,1.23,Medium
8.06,81.66,44.83,1801.22,30.0,29.3,57.0,10,M50,9.74,0.86,Low
1.4,73.32,17.58,1315.55,68.7,16.8,42.4,5,M50,9.73,1.22,Low
12.54,36.14,88.7,1043.25,10.3,10.8,31.9,6,M30,5.75,0.9,High
4.85,17.26,22.77,2285.53,32.0,40.2,23.6,7,M50,5.39,0.67,Low
2.84,78.55,16.08,2455.52,26.5,35.5,34.7,9,M20,9.99,0.82,Low
0.66,88.89,22.3,3061.29,37.9,9.3,63.6,7,M40,10.25,1.11,Low
8.88,38.56,70.37,1263.94,34.9,-3.8,79.0,4,M20,11.06,0.56,High
10.18,77.74,41.17,2717.23,39.4,-5.7,32.7,10,M20,21.72,1.25,High
0.3,48.02,53.06,2008.61,11.4,-4.3,28.1,5,M30,15.28,0.71,Medium
7.71,85.87,6.79,3101.64,39.0,25.0,76.2,6,M30,0.51,1.25,Low
3.44,24.71,7.93,1894.56,18.9,-6.9,42.9,9,M40,12.98,1.17,Low
9.7,106.94,42.9,1859.94,14.6,10.2,91.4,5,M30,19.06,1.04,Medium
2.66,35.2,74.42,2064.78,5.8,35.2,73.6,5,M30,1.41,0.71,Medium
10.38,44.77,80.25,2647.67,57.4,7.7,44.5,7,M20,10.57,0.85,High
5.83,7.91,12.37,3379.95,32.6,35.8,41.7,2,M30,11.28,1.12,Low
14.05,14.27,50.76,350.12,47.4,34.7,59.3,3,M40,23.85,0.8,Medium
2.11,62.39,82.62,281.68,54.8,4.7,25.9,2,M30,11.89,1.01,High
5.15,32.84,37.98,3287.67,51.3,33.7,28.8,10,M30,18.75,1.07,Medium
1.75,100.42,75.51,1901.58,35.8,34.9,33.2,10,M30,7.57,0.76,Medium
13.87,2.75,16.36,2190.67,29.7,13.8,78.1,2,M30,19.48,0.79,Low
13.17,46.11,84.51,1740.24,28.8,2.6,58.5,3,M30,8.07,0.42,High
3.91,41.14,68.87,418.44,48.4,21.3,20.8,6,M50,10.75,0.47,Low
9.92,3.3,85.01,2711.5,37.6,45.3,70.5,5,M40,11.99,1.2,High
12.27,15.8,62.51,2640.56,63.8,28.4,51.8,5,M30,23.16,1.12,High
8.35,50.22,35.89,1159.79,65.7,0.4,58.3,2,M30,1.34,0.21,Low
7.97,59.65,84.75,1141.21,13.6,31.0,36.1,2,M30,4.92,1.16,High
3.67,49.11,28.42,2948.66,11.1,15.6,61.4,1,M40,17.64,0.23,Low
1.44,64.18,33.23,346.01,47.6,25.5,93.4,3,M30,14.44,0.7,Low
13.46,71.82,64.57,3095.76,23.3,34.0,25.5,7,M40,6.29,0.27,Medium
13.51,2.18,70.05,972.65,2.4,20.9,41.3,5,M30,7.23,1.27,High
9.51,56.23,84.0,2116.15,66.8,38.8,38.2,7,M30,9.18,1.27,High
5.12,115.66,22.41,3282.38,17.8,33.3,38.6,9,M40,11.26,0.87,Low
5.27,62.76,72.83,2405.62,69.8,26.9,48.4,6,M30,20.45,0.63,High
10.9,81.63,67.78,1509.06,54.1,-1.0,81.4,2,M50,0.35,0.76,Medium
13.46,38.11,10.42,2444.42,57.4,40.2,88.5,1,M20,22.45,1.04,Medium
13.31,93.1,37.91,1269.53,15.9,46.2,35.2,1,M20,10.33,0.45,Medium
11.71,92.98,29.04,1042.68,18.3,-1.8,60.7,10,M30,5.76,0.69,Low
9.65,63.03,30.88,3488.72,39.6,19.3,67.8,9,M40,12.71,1.01,Low
1.31,117.15,88.55,2652.69,13.7,5.5,59.1,6,M40,16.49,0.63,Medium
2.47,15.94,59.64,2292.05,23.6,35.3,52.6,6,M20,1.12,0.24,Medium
13.48,3.02,66.0,1307.98,24.8,33.3,34.4,4,M20,17.89,0.76,High
9.12,92.65,88.01,267.15,12.8,-1.5,56.6,2,M30,19.02,1.01,High
0.19,97.05,37.06,205.59,16.2,42.6,50.1,10,M20,4.15,1.27,Low
1.57,15.3,73.16,1984.22,59.4,0.9,79.7,3,M30,4.2,0.24,Medium
9.97,32.6,41.94,2690.91,13.4,37.8,77.3,3,M30,5.09,0.79,Medium
0.13,3.09,78.91,1927.09,3.1,17.4,30.0,8,M30,19.92,0.69,High
2.45,35.9,20.36,2958.67,47.6,9.7,26.6,6,M20,6.8,0.47,Low
8.25,93.0,85.55,213.65,73.2,-0.5,88.1,7,M20,19.9,0.9,High
10.39,62.64,23.6,1346.96,25.5,0.1,60.2,9,M30,13.51,0.38,Low
9.8,42.42,32.73,906.04,9.8,29.7,84.3,1,M20,19.18,0.51,Medium
3.4,45.24,69.28,1620.73,43.2,23.0,24.4,2,M30,13.84,1.06,High
10.7,1.16,38.47,346.08,68.1,-2.7,59.5,9,M40,8.39,0.71,Low
3.6,36.68,56.7,3344.05,59.0,-3.2,60.5,5,M20,22.77,1.29,High
4.91,77.93,42.79,859.07,47.1,-5.7,84.6,4,M20,17.88,0.63,Medium
11.21,116.93,68.1,3235.85,24.3,34.6,27.3,1,M20,12.1,0.71,High
9.76,101.8,24.41,1548.04,41.1,32.7,38.0,9,M40,15.94,0.53,Low
12.75,3.81,9.97,3450.78,7.8,-6.5,50.5,9,M20,15.4,0.46,Low
9.88,107.93,30.49,1983.8,51.2,23.6,84.9,4,M50,8.95,1.21,Low
8.55,94.2,45.32,3264.83,54.7,-4.9,90.4,9,M30,10.59,1.02,Medium
1.45,93.86,19.28,118.19,72.4,44.2,94.5,10,M30,7.96,0.57,Low
5.55,55.5,35.16,2644.01,20.3,44.4,91.9,1,M20,24.99,0.97,Medium
4.01,48.36,39.0,3170.37,2.4,31.9,20.4,5,M30,14.5,1.26,Medium
3.7,37.05,9.88,575.05,41.4,45.6,23.6,1,M30,2.3,0.28,Low
14.6,8.82,54.58,426.83,53.3,38.7,31.1,4,M30,12.98,0.49,Medium
5.93,28.16,80.17,1543.55,59.5,39.7,46.2,5,M30,1.25,0.42,High
13.39,30.35,17.9,3274.51,15.3,24.2,82.2,3,M30,7.22,1.16,Low
9.49,58.61,55.81,1944.11,20.4,8.4,86.9,2,M30,11.15,0.4,Medium
11.93,89.95,61.5,1893.35,38.9,3.1,34.0,6,M30,13.36,0.54,Medium
7.56,57.38,40.64,579.83,25.5,9.6,66.5,3,M30,24.4,0.8,Medium
8.67,7.88,64.59,102.68,64.7,27.7,88.8,10,M40,24.56,0.88,Medium
7.41,114.98,39.91,2854.48,36.1,0.4,54.8,1,M20,2.45,1.09,Medium
2.97,113.18,47.89,397.75,60.2,5.5,27.8,5,M30,13.45,0.65,Medium
10.85,94.44,5.63,2255.09,44.0,18.1,54.3,2,M30,20.43,0.79,Low
4.25,118.97,63.8,3209.7,58.2,4.0,48.2,2,M20,5.94,1.26,High
0.41,65.79,61.21,809.42,25.6,25.3,63.3,4,M30,18.76,0.53,Medium
9.7,115.57,8.26,2361.93,62.5,45.4,52.9,4,M20,21.97,0.47,Low
2.7,10.0,36.3,367.58,21.3,34.9,21.3,4,M20,16.56,0.98,Medium
14.11,44.52,88.22,2152.77,41.4,30.0,94.5,7,M50,8.19,1.05,Medium
14.31,27.82,40.76,657.37,16.8,25.0,60.8,1,M30,23.08,0.66,Medium
13.73,24.3,47.67,2602.24,36.2,19.3,55.5,8,M30,22.09,0.43,Medium
5.58,17.76,82.34,1124.19,24.5,1.2,91.6,10,M40,17.9,1.06,Medium
0.28,75.07,65.97,1675.53,20.7,43.7,31.7,9,M20,9.09,0.94,High
13.93,93.98,54.48,2138.06,72.6,4.9,34.2,10,M40,19.8,1.16,Medium
6.45,69.82,72.81,682.33,12.8,-4.5,80.6,6,M20,7.9,1.13,High
14.5,18.49,78.47,2621.57,59.3,35.0,39.6,4,M30,6.32,0.43,High
14.46,97.52,43.84,1128.98,73.8,0.5,79.9,6,M40,12.88,1.12,Medium
12.8,76.68,45.38,2352.06,2.5,12.3,40.4,10,M50,24.93,0.39,Low
4.45,47.19,37.81,638.16,52.7,-8.3,22.5,7,M30,20.11,1.15,Medium
5.81,81.22,87.17,2439.6,19.7,-1.8,58.8,6,M30,18.24,1.05,High
12.77,31.93,64.26,535.84,4.0,0.4,34.8,1,M30,11.3,0.83,Medium
4.79,42.08,12.07,1546.21,30.8,-6.7,76.8,5,M20,7.8,0.91,Low
2.58,110.18,78.35,940.5,70.2,29.4,68.1,8,M40,21.4,0.31,Medium
8.37,35.57,45.85,2644.48,1.9,40.2,89.3,8,M20,14.19,0.24,Medium
14.05,56.93,10.84,990.92,44.5,12.4,78.7,10,M30,20.33,0.56,Low
10.46,106.93,51.73,3097.84,38.1,42.5,33.6,9,M30,12.19,1.1,Medium
8.57,85.22,40.46,3132.19,65.6,2.8,80.0,4,M40,18.85,0.71,Medium
1.5,8.4,79.61,767.9,7.2,9.5,68.1,10,M30,21.69,0.45,Medium
9.24,18.53,22.34,2187.08,51.4,-1.0,70.2,6,M40,9.78,1.12,Low
14.85,1.93,75.25,398.24,51.3,27.2,82.4,7,M20,0.34,0.45,High
2.14,76.08,52.4,1431.23,50.5,15.2,63.0,5,M20,6.37,1.1,High
7.8,54.27,9.64,2525.29,70.7,26.8,55.0,8,M30,22.87,0.7,Low
13.17,16.98,87.61,2342.04,61.9,35.7,67.7,3,M30,17.19,0.71,High
11.12,114.99,48.57,2223.98,4.1,22.7,42.3,8,M30,18.43,0.5,Medium
10.47,64.03,29.72,1060.64,35.9,27.7,33.7,5,M40,8.13,1.19,Low
10.55,29.79,44.9,1385.28,30.4,46.1,66.2,1,M20,17.53,0.3,High
5.42,60.57,77.92,450.02,24.0,7.9,37.5,6,M30,16.16,0.36,Medium
4.44,81.87,30.92,2544.68,34.4,11.5,26.0,2,M20,4.46,0.9,Medium
12.15,10.07,21.38,1813.22,29.4,33.1,20.0,7,M20,24.22,1.14,Medium
12.16,33.69,15.97,2509.8,33.0,26.7,65.6,9,M20,8.85,0.3,Low
13.01,97.03,30.32,946.41,73.5,0.7,47.2,3,M40,8.23,1.01,Low
13.7,55.7,71.3,1203.09,7.6,12.6,76.4,10,M30,9.23,1.02,Medium
7.69,66.04,45.09,1236.33,69.2,18.1,48.1,4,M20,2.29,0.84,Medium
7.55,52.51,24.34,187.52,36.5,15.2,56.5,4,M30,15.62,0.74,Low
11.98,6.22,19.13,1259.56,47.2,0.7,50.5,4,M30,5.97,0.55,Low
9.77,20.72,33.28,2831.24,62.4,45.5,68.8,3,M40,20.08,0.59,Medium
10.54,54.02,84.89,3150.81,27.7,35.7,46.7,5,M30,9.85,0.94,High
11.95,25.89,34.16,1861.94,32.9,18.9,92.3,9,M20,11.46,0.27,Medium
13.36,6.95,88.99,1648.71,31.3,30.8,90.2,8,M50,16.16,0.84,Medium
5.1,101.39,46.24,204.8,28.7,43.8,83.6,10,M20,19.05,0.51,Medium
5.66,117.76,20.23,3089.29,69.5,-1.8,89.0,2,M40,5.78,0.71,Low
1.46,95.38,80.75,144.23,62.3,5.0,53.7,9,M30,24.16,0.81,High
8.7,102.6,44.13,3312.15,9.1,22.6,60.2,10,M20,15.56,1.17,High
0.59,29.8,65.32,1763.34,9.0,37.9,75.7,2,M40,0.14,0.84,Medium
7.01,115.31,88.62,1262.58,32.7,-7.8,72.2,7,M20,10.39,0.45,High
8.16,24.43,9.26,3242.34,8.3,49.0,86.8,5,M40,10.92,0.29,Low
4.33,114.22,13.22,182.93,46.8,17.3,73.7,7,M20,20.23,0.89,Low
8.88,119.38,66.24,2076.84,11.6,11.6,94.8,5,M30,7.63,0.8,Medium
0.51,85.7,28.96,1966.37,39.7,7.6,46.1,6,M30,8.28,0.94,Low
0.61,117.76,20.67,845.69,1.5,0.5,82.5,8,M20,1.76,0.71,Low
12.35,68.78,8.35,1558.22,24.4,37.5,72.3,1,M30,7.09,1.11,Low
5.43,31.89,6.86,2317.7,51.1,47.3,71.9,1,M40,17.92,1.21,Low
1.95,53.0,70.83,2572.25,36.8,14.8,44.4,5,M40,15.87,0.24,Medium
7.86,71.63,16.43,102.44,73.4,47.1,78.9,1,M30,2.03,1.02,Low
11.56,9.7,44.76,3285.3,65.7,39.4,87.5,3,M40,2.87,0.24,Medium
3.28,75.06,56.5,659.39,27.6,18.9,36.4,10,M50,9.42,0.69,Low
9.36,117.76,41.41,894.17,4.4,30.4,66.9,9,M20,18.59,0.71,Medium
1.33,23.62,7.3,995.81,63.6,16.1,49.4,7,M30,20.82,0.97,Low
0.82,95.32,71.6,228.59,68.4,23.5,94.2,6,M20,0.37,0.59,High
7.99,109.04,5.89,518.38,61.7,-6.5,55.9,8,M40,8.23,1.1,Low
8.13,113.3,69.76,3453.59,10.5,31.8,37.1,8,M40,10.61,0.58,Medium
9.58,115.26,80.93,1171.74,74.8,-6.8,48.6,6,M40,22.78,0.58,High
10.91,63.05,41.79,492.02,20.1,39.0,69.0,4,M50,12.54,0.45,Low
14.64,117.3,50.52,463.77,54.6,39.5,25.7,4,M20,6.74,0.95,High
