vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk,material_grade_encoded,failure_risk_encoded,stress_capacity_ratio,vibration_severity_index,maintenance_decay_index,settlement_load_interaction,environmental_exposure_index,age_group_encoded
13.43,113.77,12.22,1680.51,31.3,29.7,86.8,4,M20,2.61,0.62,Low,0,1,0.611,1527.93,7.634,1.618,43.14,1
8.99,9.61,42.08,2244.0,39.8,26.8,55.4,1,M40,8.76,0.6,Low,2,1,1.052,86.39,36.182,5.256,25.93,1
13.83,114.66,60.96,1628.64,36.3,21.9,75.8,5,M30,4.05,0.72,Medium,1,2,2.032,1585.75,7.118,2.916,31.76,1
1.37,63.19,42.21,741.35,34.1,31.0,30.5,1,M20,8.22,0.82,Medium,0,2,2.1105,86.57,31.0,6.74,15.56,1
2.98,36.65,28.52,1826.85,58.4,28.2,70.3,1,M40,20.48,1.29,Low,2,1,0.713,109.22,53.091,26.419,33.88,2
0.73,10.15,52.44,1897.19,40.0,42.9,37.7,5,M30,4.02,1.03,Medium,1,2,1.748,7.41,7.843,4.141,23.71,1
4.91,60.57,34.5,2856.05,24.4,25.2,52.9,5,M30,11.84,0.24,Low,1,1,1.15,297.4,4.784,2.842,23.91,1
5.86,95.55,84.29,2600.77,20.1,36.7,21.3,7,M40,23.04,0.98,Medium,2,2,2.1072,559.92,2.831,22.579,12.08,1
4.11,85.14,83.42,2356.89,3.8,4.9,31.4,2,M20,24.90505,1.11,High,0,0,4.171,349.93,1.81,27.645,7.82,0
12.44,6.98,47.7,485.52,44.2,30.7,26.9,6,M40,6.27,1.19,Medium,2,2,1.1925,86.83,7.246,7.461,13.64,2
5.38,9.68,32.87,2550.1,18.0,44.1,38.0,2,M30,23.39,0.67,Medium,1,2,1.0957,52.08,8.571,15.671,24.36,1
4.25,48.94,67.66,1801.04,12.0,13.1,27.5,10,M30,6.53,0.54,Medium,1,2,2.2553,208.0,1.188,3.526,9.1,0
8.16,36.14,8.12,3139.94,49.4,36.7,71.9,5,M20,10.34,1.12,Low,0,1,0.406,294.9,9.686,11.581,40.77,2
2.16,28.65,45.36,3227.56,51.4,33.5,22.2,4,M40,21.95,1.06,Medium,2,2,1.134,61.88,12.537,23.267,11.88,2
12.04,34.44,33.59,287.53,56.7,-6.4,66.3,10,M30,19.65,0.79,Low,1,1,1.1197,414.66,5.614,15.524,9.02,2
1.16,96.61,83.25,2890.18,38.3,24.9,30.6,5,M20,21.44,0.33,High,0,0,4.1625,112.07,7.51,7.075,13.74,1
14.8,111.58,6.02,228.17,67.2,-2.2,90.9,2,M20,20.01,0.92,Low,0,1,0.301,1651.38,32.0,18.409,16.18,2
11.6,49.21,51.99,1348.38,70.3,48.0,90.0,8,M30,5.88,0.27,Medium,1,2,1.733,570.84,8.679,1.588,61.2,2
3.02,108.83,67.96,1943.82,60.7,38.7,36.9,8,M40,13.97,0.31,Medium,2,2,1.699,328.67,7.494,4.331,21.66,2
0.17485,39.26,46.23,603.54,48.0,-3.4,66.1,6,M50,9.63,0.56,Low,3,1,0.9246,6.86,7.869,5.393,10.97,2
12.24,57.7,12.26,2637.47,23.5,-2.7,22.1,3,M40,11.49,0.61,Low,2,1,0.3065,706.25,7.581,7.009,3.82,1
10.62,27.9,87.66,128.41,73.7,25.7,89.9,4,M30,3.85,0.71,High,1,0,2.922,296.3,17.976,2.734,41.08,2
10.95,77.22,49.03,673.24,21.3,10.7,59.2,1,M20,7.89,0.57,High,0,0,2.4515,845.56,19.364,4.497,18.17,1
11.58,117.5,57.21,2074.71,16.0,-7.9,23.2,9,M40,21.44,0.24,Medium,2,2,1.4302,1360.65,1.758,5.146,2.81,1
1.16,72.82,25.11,2528.92,33.7,22.5,45.7,10,M50,22.44,0.37,Low,3,1,0.5022,84.47,3.337,8.303,19.42,1
5.41,43.58,46.1,3216.59,5.2,13.3,25.8,5,M30,15.25,0.33,Medium,1,2,1.5367,235.77,1.02,5.033,8.59,0
1.78,78.09,41.48,2498.69,73.4,-3.9,49.5,8,M20,12.46,0.67,Medium,0,2,2.074,139.0,9.062,8.348,7.97,2
12.95,15.63,11.37,2384.05,44.5,38.1,70.2,3,M20,17.82,0.43,Low,0,1,0.5685,202.41,14.355,7.663,40.79,2
9.37,106.75,14.02,1440.76,42.2,44.9,55.2,4,M20,15.22,0.52,Low,0,1,0.701,1000.25,10.293,7.914,35.82,2
5.0,60.87,76.19,113.72415,49.5,35.4,48.8,4,M30,24.59,0.72,High,1,0,2.5397,304.35,12.073,17.705,27.04,2
1.0,54.47,25.38,508.54,37.8,39.3,28.9,8,M50,4.75,0.46,Low,3,1,0.5076,54.47,4.667,2.185,17.14,1
4.7,70.72,21.57,1917.49,3.4,3.0,38.4,9,M20,11.23,0.47,Low,0,1,1.0785,332.38,0.374,5.278,8.83,0
4.91,75.35,47.92,2395.44,46.3,5.8,27.5,3,M30,22.96,1.12,Medium,1,2,1.5973,369.97,14.935,25.715,7.1,2
10.96,9.54,70.34,1519.32,54.0,2.5,80.6,7,M30,22.87,0.8,High,1,0,2.3447,104.56,7.606,18.296,18.13,2
9.58,82.23,10.27,2584.31,31.8,35.9,30.1,9,M50,12.38,1.14,Low,3,1,0.2054,787.76,3.495,14.113,16.83,1
13.31,29.79,54.03,1874.33,57.0,46.9,64.7,2,M30,3.37,0.77,Medium,1,2,1.801,396.5,27.143,2.595,43.28,2
7.11,85.96,15.13,352.2,17.8,33.0,45.7,4,M20,20.37,1.2,Low,0,1,0.7565,611.18,4.341,24.444,24.22,1
1.84,98.88,8.1,752.86,17.4,42.9,36.9,3,M20,14.63,0.48,Low,0,1,0.405,181.94,5.613,7.022,23.21,1
10.71,96.67,9.48,2955.99,12.9,28.3,68.0,8,M30,19.33,0.88,Low,1,1,0.316,1035.34,1.593,17.01,32.84,0
11.42,66.75,75.9,2564.7,28.5,13.3,54.3,4,M40,11.56,0.75,Medium,2,2,1.8975,762.28,6.951,8.67,18.08,1
8.44,62.9,15.03,3142.19,63.7,15.5,50.0,9,M20,5.1,1.21,Low,0,1,0.7515,530.88,7.0,6.171,17.75,2
11.58,18.0,8.84,499.69,62.3,-5.5,64.5,1,M30,0.6,0.66,Low,1,1,0.2947,208.44,56.636,0.396,9.35,2
7.43,93.27,42.22,3466.76,29.3,-8.1,56.8,1,M30,13.98,1.14,Medium,1,2,1.4073,693.0,26.636,15.937,6.76,1
7.86,33.3,76.74,811.98,44.6,31.7,42.8,4,M30,4.03,0.82,Medium,1,2,2.558,261.74,10.878,3.305,22.13,2
6.44,60.11,27.3,140.05,54.3,16.3,61.9,3,M20,4.68,0.98,Low,0,1,1.365,387.11,17.516,4.586,22.47,2
0.43,34.83,40.85,3478.6891000000005,18.8,23.1,70.2,3,M50,10.91,1.18,Low,3,1,0.817,14.98,6.065,12.874,30.26,1
1.66,16.93,8.39,1055.65,13.4,23.5,22.0,10,M30,11.05,1.29,Low,1,1,0.2797,28.1,1.327,14.255,9.57,0
0.52,75.92,43.17,2371.27,72.9,6.6,54.9,2,M40,6.86,1.0,Low,2,1,1.0792,39.48,34.714,6.86,14.6,2
9.56,7.47,54.1,700.72,46.7,18.6,24.3,10,M30,3.3,0.55,Medium,1,2,1.8033,71.41,4.624,1.815,9.38,2
4.75,90.09,53.53,2072.78,73.6,18.2,34.0,10,M50,23.62,0.53,Low,3,1,1.0706,427.93,7.287,12.519,12.99,2
7.65,38.79,33.26,3173.72,26.0,13.3,62.0,2,M30,3.29,0.54,Low,1,1,1.1087,296.74,12.381,1.777,20.65,1
13.62,1.5099,31.82,1188.62,53.0,39.2,85.0,8,M30,8.77,0.31,Low,1,1,1.0607,20.56,6.543,2.719,50.32,2
3.78,61.82,14.06,2378.86,17.5,17.1,86.2,1,M30,7.62,0.26,Low,1,1,0.4687,233.68,15.909,1.981,31.98,1
6.19,6.58,36.18,738.87,20.3,26.2,25.2,8,M30,21.66,0.84,Low,1,1,1.206,40.73,2.506,18.194,11.64,1
11.35,33.86,13.46,2224.3,38.9,43.7,51.4,10,M20,10.25,1.09,Low,0,1,0.673,384.31,3.851,11.173,32.74,1
3.47,85.13,70.16,1243.93,24.7,42.0,63.7,3,M50,3.1,0.24,Low,3,1,1.4032,295.4,7.968,0.744,39.49,1
1.2,8.46,87.13,818.11,13.4,43.4,31.0,2,M40,0.26,0.82,Medium,2,2,2.1782,10.15,6.381,0.213,19.65,0
4.38,100.88,87.46,1164.82,20.5,6.2,77.4,9,M30,18.05,0.61,High,1,0,2.9153,441.85,2.253,11.01,20.28,1
2.46,1.5099,78.53,708.06,3.6,-7.9,75.8,5,M30,17.86,1.18,High,1,0,2.6177,3.71,0.706,21.075,9.17,0
13.95,30.37,56.07,3166.51,53.1,5.7,87.8,5,M20,10.44,0.36,High,0,0,2.8035,423.66,10.412,3.758,22.56,2
12.13,89.17,64.57,1450.44,37.4,6.7,20.6,6,M40,3.16,0.82,Medium,2,2,1.6142,1081.63,6.131,2.591,5.5,1
9.52,38.64,29.24,933.95,8.0,44.6,36.3,4,M30,9.29,1.27,Low,1,1,0.9747,367.85,1.951,11.798,23.45,0
13.08,13.13,58.62,1624.59,13.7,29.0,82.0,7,M30,14.75,0.58,Medium,1,2,1.954,171.74,1.93,8.555,40.18,0
12.06,43.87,43.73,1189.82,8.6,-5.1,70.3,7,M50,17.6,1.02,Low,3,1,0.8746,529.07,1.211,17.952,10.47,0
2.84,33.18,45.97,2631.03,46.3,-1.9,87.1,9,M30,1.96,1.17,Medium,1,2,1.5323,94.23,5.088,2.293,15.77,2
13.39,101.28,69.41,3402.15,8.0,-0.7,24.3,6,M40,13.91,0.4,Medium,2,2,1.7352,1356.14,1.311,5.564,4.69,0
8.11,38.29,28.96,1589.31,56.8,27.8,64.8,1,M30,6.9,1.29,Low,1,1,0.9653,310.53,51.636,8.901,30.97,2
12.12,94.88,32.03,3027.51,2.5,34.1,62.7,9,M40,15.43,1.09,Low,2,1,0.8008,1149.95,0.275,16.819,33.92,0
13.45,107.13,83.59,2023.93,19.5,41.6,22.7,10,M30,16.2,0.35,High,1,0,2.7863,1440.9,1.931,5.67,13.98,1
4.8,52.62,9.78,634.6,66.9,46.4,58.5,9,M30,22.77,0.54,Low,1,1,0.326,252.58,7.352,12.296,38.84,2
1.7,109.28,46.28,2448.12,54.2,2.1,65.7,5,M50,10.26,0.89,Low,3,1,0.9256,185.78,10.627,9.131,14.52,2
3.46,45.9,82.59,1845.68,6.4,8.6,34.3,7,M30,13.44,1.17,High,1,0,2.753,158.81,0.901,15.725,9.81,0
6.44,115.73,56.88,2312.06,61.8,4.4,40.5,1,M30,6.71,0.41,Medium,1,2,1.896,745.3,56.182,2.751,9.88,2
12.28,11.63,51.44,3124.94,37.5,11.5,68.0,4,M20,7.16,1.0,High,0,0,2.572,142.82,9.146,7.16,21.42,1
12.92,82.76,26.23,1597.48,63.7,44.9,55.1,10,M20,1.15,0.5,Low,0,1,1.3115,1069.26,6.307,0.575,35.76,2
0.17485,59.76,34.18,3164.0,45.5,24.5,84.4,4,M40,7.15,1.09,Low,2,1,0.8545,10.45,11.098,7.794,37.56,2
7.69,47.13,77.42,2652.27,51.5,34.3,45.7,5,M30,1.6,0.95,High,1,0,2.5807,362.43,10.098,1.52,24.82,2
6.29,76.29,52.53,1761.26,74.5,19.4,40.0,6,M40,24.1,0.78,Medium,2,2,1.3132,479.86,12.213,18.798,15.76,2
3.37,84.76,48.75,2150.96,18.2,-8.3,93.9,4,M30,15.61,0.91,Medium,1,2,1.625,285.64,4.439,14.205,10.99,1
1.84,1.52,13.46,1206.98,47.2,-6.1,88.3,6,M30,4.33,1.16,Low,1,1,0.4487,2.8,7.738,5.023,12.27,2
5.1,20.87,6.36,3444.23,35.1,22.3,22.2,10,M40,2.92,0.63,Low,2,1,0.159,106.44,3.475,1.84,9.39,1
14.15,85.85,86.91,2368.99,3.9,33.1,77.8,7,M30,9.25,1.05,High,1,0,2.897,1214.78,0.549,9.712,41.31,0
4.88,80.3,37.04,249.08,2.1,2.9,28.3,3,M40,7.69,0.37,Low,2,1,0.926,391.86,0.677,2.845,6.48,0
7.81,115.96,56.27,1210.51,9.8,33.3,22.1,9,M30,6.98,0.97,Medium,1,2,1.8757,905.65,1.077,6.771,11.78,0
10.56,91.56,11.78,2219.27,49.0,38.6,40.5,8,M20,11.7,1.03,Low,0,1,0.589,966.87,6.049,12.051,23.73,2
5.49,114.14,63.06,291.53,43.0,14.7,40.2,1,M30,22.82,0.69,Medium,1,2,2.102,626.63,39.091,15.746,13.95,2
14.58,84.6,84.27,181.21,42.0,34.8,81.4,2,M20,14.2,1.07,High,0,0,4.2135,1233.47,20.0,15.194,44.61,2
14.44,36.47,53.93,1630.08,3.4,14.2,73.3,2,M30,13.03,0.81,Medium,1,2,1.7977,526.63,1.619,10.554,25.07,0
3.81,13.54,15.72,1231.15,35.7,30.7,93.6,10,M20,20.16,1.23,Low,0,1,0.786,51.59,3.535,24.797,47.46,1
7.48,94.04,54.45,1590.22,69.4,35.8,73.4,9,M40,0.13495,0.32,Low,2,1,1.3612,703.42,7.626,0.043,40.96,2
4.55,77.65,70.14,993.16,30.4,49.5,51.4,9,M20,4.93,0.34,High,0,0,3.507,353.31,3.341,1.676,35.72,1
4.31,6.73,39.55,660.04,47.2,10.7,72.4,9,M20,12.4,1.13,Medium,0,2,1.9775,29.01,5.187,14.012,22.23,2
0.6,43.85,79.79,2443.09,58.7,14.7,94.6505,1,M30,17.63,1.13,High,1,0,2.6597,26.31,53.364,19.922,32.84,2
9.16,114.86,60.14,1849.54,59.0,-0.1,73.3,7,M20,12.13,0.72,High,0,0,3.007,1052.12,8.31,8.734,14.59,2
7.57,60.55,81.44,780.52,39.4,2.2,77.1,3,M20,4.09,1.26,High,0,0,4.072,458.36,12.71,5.153,17.12,1
0.82,52.49,58.0,1186.6,64.5,31.6,90.4,9,M30,23.25,0.95,Medium,1,2,1.9333,43.04,7.088,22.088,46.65,2
4.22,55.47,16.16,2112.15,30.0,45.0,28.5,8,M20,8.22,1.28,Low,0,1,0.808,234.08,3.704,10.522,18.52,1
13.63,25.86,31.32,345.58,66.8,13.7,72.9,3,M20,19.71,0.79,Medium,0,2,1.566,352.47,21.548,15.571,24.57,2
3.63,44.88,22.15,601.34,18.8,0.8,83.8,1,M20,22.29,0.42,Low,0,1,1.1075,162.91,17.091,9.362,17.43,1
2.22,45.01,82.25,349.04,21.7,7.1,91.6,9,M40,8.66,0.69,Medium,2,2,2.0562,99.92,2.385,5.975,24.82,1
7.37,7.23,69.63,2861.88,4.9,17.3,35.8,10,M40,21.13,1.28,Medium,2,2,1.7407,53.29,0.485,27.046,13.35,0
14.79,92.34,62.49,2658.19,59.9,7.4,57.8,1,M30,17.77,0.61,High,1,0,2.083,1365.71,54.455,10.84,15.84,2
3.67,50.56,30.58,2661.26,31.9,4.0,71.0,3,M50,22.61,1.25,Low,3,1,0.6116,185.56,10.29,28.262,17.04,1
10.1,98.84,20.64,2535.51,18.0,34.2,38.6,6,M20,6.28,1.08,Low,0,1,1.032,998.28,2.951,6.782,20.92,1
11.44,102.19,69.3,2375.91,18.2,-9.5,65.0,6,M30,23.28,0.69,High,1,0,2.31,1169.05,2.984,16.063,6.82,1
3.6,26.23,45.3,1721.77,67.7,22.4,39.3,10,M40,1.63,0.8,Low,2,1,1.1325,94.43,6.703,1.304,16.66,2
10.94,79.23,24.19,2283.75,62.7,37.6,45.0,4,M30,19.84,0.87,Medium,1,2,0.8063,866.78,15.293,17.261,25.92,2
5.55,57.2,57.41,230.43,42.0,6.0,53.1,2,M50,10.89,0.93,Low,3,1,1.1482,317.46,20.0,10.128,13.81,2
9.5,105.74,8.43,2212.98,46.6,26.2,59.7,10,M50,4.45,0.28,Low,3,1,0.1686,1004.53,4.614,1.246,27.58,2
9.52,26.67,32.72,2744.78,36.1,30.1,53.7,6,M20,1.99,1.23,Medium,0,2,1.636,253.9,5.918,2.448,26.9,1
8.06,81.66,44.83,1801.22,30.0,29.3,57.0,10,M50,9.74,0.86,Low,3,1,0.8966,658.18,2.97,8.376,28.1,1
1.4,73.32,17.58,1315.55,68.7,16.8,42.4,5,M50,9.73,1.22,Low,3,1,0.3516,102.65,13.471,11.871,15.6,2
12.54,36.14,88.7,1043.25,10.3,10.8,31.9,6,M30,5.75,0.9,High,1,0,2.9567,453.2,1.689,5.175,9.83,0
4.85,17.26,22.77,2285.53,32.0,40.2,23.6,7,M50,5.39,0.67,Low,3,1,0.4554,83.71,4.507,3.611,14.21,1
2.84,78.55,16.08,2455.52,26.5,35.5,34.7,9,M20,9.99,0.82,Low,0,1,0.804,223.08,2.912,8.192,19.26,1
0.66,88.89,22.3,3061.29,37.9,9.3,63.6,7,M40,10.25,1.11,Low,2,1,0.5575,58.67,5.338,11.378,18.63,1
8.88,38.56,70.37,1263.94,34.9,-3.8,79.0,4,M20,11.06,0.56,High,0,0,3.5185,342.41,8.512,6.194,12.8,1
10.18,77.74,41.17,2717.23,39.4,-5.7,32.7,10,M20,21.72,1.25,High,0,0,2.0585,791.39,3.901,27.15,4.68,1
0.3,48.02,53.06,2008.61,11.4,-4.3,28.1,5,M30,15.28,0.71,Medium,1,2,1.7687,14.41,2.235,10.849,4.41,0
7.71,85.87,6.79,3101.64,39.0,25.0,76.2,6,M30,0.51,1.25,Low,1,1,0.2263,662.06,6.393,0.638,34.29,1
3.44,24.71,7.93,1894.56,18.9,-6.9,42.9,9,M40,12.98,1.17,Low,2,1,0.1982,85.0,2.077,15.187,5.62,1
9.7,106.94,42.9,1859.94,14.6,10.2,91.4,5,M30,19.06,1.04,Medium,1,2,1.43,1037.32,2.863,19.822,27.6,0
2.66,35.2,74.42,2064.78,5.8,35.2,73.6,5,M30,1.41,0.71,Medium,1,2,2.4807,93.63,1.137,1.001,40.63,0
10.38,44.77,80.25,2647.67,57.4,7.7,44.5,7,M20,10.57,0.85,High,0,0,4.0125,464.71,8.085,8.984,12.33,2
5.83,7.91,12.37,3379.95,32.6,35.8,41.7,2,M30,11.28,1.12,Low,1,1,0.4123,46.12,15.524,12.634,23.27,1
14.05,14.27,50.76,350.12,47.4,34.7,59.3,3,M40,23.85,0.8,Medium,2,2,1.269,200.49,15.29,19.08,32.44,2
2.11,62.39,82.62,281.68,54.8,4.7,25.9,2,M30,11.89,1.01,High,1,0,2.754,131.64,26.095,12.009,6.4,2
5.15,32.84,37.98,3287.67,51.3,33.7,28.8,10,M30,18.75,1.07,Medium,1,2,1.266,169.13,5.079,20.062,15.47,2
1.75,100.42,75.51,1901.58,35.8,34.9,33.2,10,M30,7.57,0.76,Medium,1,2,2.517,175.74,3.545,5.753,18.23,1
13.87,2.75,16.36,2190.67,29.7,13.8,78.1,2,M30,19.48,0.79,Low,1,1,0.5453,38.14,14.143,15.389,26.4,1
13.17,46.11,84.51,1740.24,28.8,2.6,58.5,3,M30,8.07,0.42,High,1,0,2.817,607.27,9.29,3.389,13.22,1
3.91,41.14,68.87,418.44,48.4,21.3,20.8,6,M50,10.75,0.47,Low,3,1,1.3774,160.86,7.934,5.052,8.59,2
9.92,3.3,85.01,2711.5,37.6,45.3,70.5,5,M40,11.99,1.2,High,2,0,2.1253,32.74,7.373,14.388,46.04,1
12.27,15.8,62.51,2640.56,63.8,28.4,51.8,5,M30,23.16,1.12,High,1,0,2.0837,193.87,12.51,25.939,25.07,2
8.35,50.22,35.89,1159.79,65.7,0.4,58.3,2,M30,1.34,0.21,Low,1,1,1.1963,419.34,31.286,0.281,11.89,2
7.97,59.65,84.75,1141.21,13.6,31.0,36.1,2,M30,4.92,1.16,High,1,0,2.825,475.41,6.476,5.707,18.41,0
3.67,49.11,28.42,2948.66,11.1,15.6,61.4,1,M40,17.64,0.23,Low,2,1,0.7105,180.23,10.091,4.057,21.86,0
